Job_Role,Company,Location,Job Experience,Skills/Description
Senior Data Scientist,Sysvine Technologies,Remote,4-9,"Data Science, Machine Learning, Python, BI, Data mining, R, RDBMS, statistical analysis"
Senior Data Scientist,TransUnion,Pune,7-11,"IT Skills, Java, Python, Machine Learning, Cloud, Project Management, Big Data, C++"
Associate Scientist - Data Engineering,AXA Technology Services India Pvt. Ltd,Gurgaon/Gurugram,2-5,"Automation, Analytical, Machine learning, Assistant Vice President Operations, Warehouse design, SQL development, Data warehousing, Python"
Data Scientist,Green Agrevolution Pvt. Ltd. (DeHaat),"Gurgaon/Gurugram, Bangalore/Bengaluru",4-9,"image processing, python, machine learning, Deep Learning"
Snr Global Prgm Mngr & Data Scientist,Orange Business Services India Technology Pvt Ltd,Gurgaon/Gurugram,4-8,"Green belt, PMP, Operations Manager, Process improvement, Business analytics, Analytical, Data mining, Business intelligence"
Snr Global Program Manager & Data Scientist,Orange Business Services,Gurgaon/Gurugram,7-12,"machine learning, IT Skills, Python, Data Science, Artificial Intelligence, Cloud, Project Management, Big Data"
AI Scientist - SAP Procurement Data Science Team,SAP India Pvt.Ltd,Bangalore/Bengaluru,2-7,"Python, Procurement, Computer science, Software design, SAP, Coding, Agile, Data mining"
Data Scientist,PTC,Gurgaon/Gurugram,4-9,"Machine Learning, IT Skills, Java, Python, Data Science, Cloud, AWS, Tensorflow"
Data Scientist,Capgemini,Gurgaon/Gurugram,2-5,"python, C++, r, machine learning, programming, analytical, C, analytics"
Hiring For Data Science /Scientist,Vodafone India Services Pvt.Ltd,"Pune(Viman Nagar), Bangalore/Bengaluru(Marathahalli)",3-8,"deep learning, python, data science, SAS, analytical, R, PySpark, Hive"
Lead Engineer Data Engineer/Scientist _III,Deutsche Bank,Pune,4-13,"Administration, Automation, GIT, Trade finance, Machine learning, Cash management, Troubleshooting, SDLC"
Lead Engineer Python Data Engineer/Scientist III,Deutsche Bank,Pune,5-10,"Administration, Automation, GIT, Trade finance, Machine learning, Cash management, Troubleshooting, SDLC"
Data Scientist,Invesco (India) Pvt Ltd,Hyderabad/Secunderabad,7-12,"financial transaction data, project management, Dimensionality Reduction, data management, data mining, Regression, nearest neighbors, Data Cleansing"
Junior/Senior Data Scientist - Consulting Firm,Huquo Consulting Pvt. Ltd,Mumbai,1-6,"R, SPSS, Python, Business Intelligence, SAS, Data Management, Data Mining, Tableau"
Junior/ Senior Data Scientist - Consulting Firm,Huquo Consulting Pvt. Ltd,Mumbai,2-7,"Data Science, Business Intelligence, SAS, Data Scientist, Data Management, Data Mining, Tableau, Data Analytics"
Data Scientist,Master Mind Consultancy,Noida,4-9,"Python, Java, C/C++, R, Statistical analysis, Big Data, Data Visualization, Machine Learning"
Lead Data Scientist,Advance Auto Parts,Hyderabad/Secunderabad,5-9,"Data analysis, Google Analytics, Version control, Neural networks, Machine learning, SPSS, Data mining, Analytics"
Data Scientist - Bangalore/ Guntur - Saugat,Headstart Manpower Consultants,"Guntur, Bangalore/Bengaluru",2-7,"data scientist, Machine Learning"
