Job_Role,Company,Location,Job Experience,Skills/Description
Python Developer,Cocoslabs,"Bengaluru, Belgaum",2-5,"IT Skills, Python, NoSQL, Django, MySQL, Data structures"
Python Developers,webtrace software solution pvt ltd,Bengaluru,2-5,"security compliance, server, development, html5, Debugging, mobile, Unit testing, CSS3"
Backend Developer Python Django,Benchire,Bengaluru,3-8,"Computer science, Data migration, Backend, Front end, NoSQL, RDBMS, Django, Data structures"
Bigdata Scala Developer #2019,Credit Suisse,"Pune, Pune",4-8,"Bigdata developer, hive, python, bigdata, java, bigdata scala developer, scala, Data engineer"
STG Infotech invites Hadoop professionals,Systems Technology,Chennai,6-10,"Hadoop, HDFS, RDBMS, Hive, MSSQL, Oracle, Kafka, MQTT"
STG Infotech invites Hadoop professionals,Systems Technology,Chennai,6-10,"Hadoop, Pyspark, Kafka, Spark, Python, HDFS, Teradata, RDBMS"
Immediate joiner For Bigdata Developer @ Chennai Location,Xoriant,Chennai,4-9,"Big Data, SPARK, SCALA Hadoop, PL / SQL, HDFS, Oracle SQL, Hive, IT Skills"
SDE III,MindTickle,Pune,3-8,"Product Management, Software Development, Scala, Big Data, Data Analysis, Aws, Data Analytics, Apache Spark"
SQL Server Developer,MOTHERSONSUMI INFOTECH DESIGNS LIMITED,Noida,5-10,"Azure Data Factory, SQL Server Development, Data Warehousing, Data Modeling, SSIS, IT Skills, Azure, MSBI"
SQL Server Developer,MOTHERSONSUMI INFOTECH DESIGNS LIMITED,Noida,2-5,"MSBI, SQL Server, SSRS, Communication, Data Management, SSIS, SQL, SQL Development"
SQL Server Developer,MOTHERSONSUMI INFOTECH DESIGNS LIMITED,Noida,2-5,"MSBI, SQL Server, SSRS, Data Management, SSIS, Communication, SQL, SQL Development"
Talend ETL Cloud Platform Architect,Accenture,Pune,8-10,"Performance tuning, Automation, Data migration, GCP, Analytical, Consulting, application architecture, Business intelligence"
Microsoft Azure PaaS Application Developer,Accenture,Chennai,12-15,"Azure Data Lake, Python, Azure Data Factory, communication, Azure Databricks, analytical, Data Stage, ASP NET MVC"
Ld. DB Dev,BNY Mellon,Pune,2-6,"Computer science, Performance tuning, Analytical, Intranet, PLSQL, Test planning, Stored procedures, Technical support"
AWS-Assistant Manager,KPMG,"Gurgaon, India",3-8,"Solution architecture, Data analysis, Data migration, Team management, Managed services, Linux, Architecture, Dms"
Manager,EXL,Gurgaon/Gurugram,3-8,"IT Skills, Data Science, Machine Learning, Cloud, Oracle, Big Data, Azure, Manager"
Python programmer - API Scripting,Genpact,"Mumbai, Mumbai (All Areas)",5-10,"API, Python, SQL"
Manager,EXL,Gurgaon/Gurugram,4-9,"IT Skills, Java, Python, Data Science, Cloud, Oracle, Big Data, Manager"
Alteryx Application Developer,Accenture,Hyderabad/Secunderabad,6-8,"IT Skills, Cloud, Big Data, Business process, SQL queries, Data validation, Cloud Services, Business analytics"
Technology Consultant - BI,Adidas,Gurgaon/Gurugram,7-12,"Relationship management, Change management, Team management, Business analysis, Analytical, Business intelligence, Resource management, Operations"
Product Owner,IHS Markit,Gurgaon/Gurugram,4-8,"IT Skills, Javascript, Tableau, Business objects, SAS, Production support, XML, Analytical"
Aix And Linux Administrator,NTT Global Data Centers and Cloud Infrastructure India Private Limited,Pune,4-5,"AIX system administration, performance tuning, TCP / IP, NIS, DNS, NFS, AIX, IT Skills"
DB Developer,Accolite Software India Pvt Ltd,Mumbai,3-6,"troubleshooting, performance turning, remediation, Data management, Schema, Database, Mentor, Application development"
Application Architect: Google Cloud Migration,IBM,Pune,14-16,"IT Skills, Cloud, DevOps, Jenkins, Solution architecture, GIT, RFI, Staffing"
Apache Spark Application Developer,Accenture,Hyderabad/Secunderabad,8-10,"Python, bigdata, Apache Spark, Business process, Solution architecture, information system, Automation, Architecture"
Process Improvement Specialist,AkzoNobel,Pune,2-5,"Business process, Process automation, Business services, Change management, SAP, Business transformation, Process improvement, Machine learning"
Process Mining Manager,AkzoNobel,Pune,6-11,"Business process, Supply chain, Change management, SAP, Business transformation, Process improvement, Analytical, Information management"
Unit Manager,Bajaj Finserv,Pune,2-6,"Computer science, MS SQL, Prototype, Postgresql, MySQL, Agile, Oracle, Teradata"
Axiom Developer,Maxima Consulting,Pune,4-8,"Axiom, PL / SQL, Oracle SQL, Axiom Controller, IT Skills, Oracle, PL/SQL, Design Specifications"
Early Engagement - Software Developer- Java,Baker Hughes,Mumbai,2-6,"Computer science, Maven, Hibernate, Front end, GIT, Web application, Javascript, Manager Technology"
Application Architect: Google Cloud Migration,IBM,Pune,14-18,"IT Skills, Cloud, DevOps, Jenkins, Solution architecture, GIT, RFI, Staffing"
Python +Web Scrapping Developer,eClerx,"Mumbai, Pune",2-7,"python, Web Crawling, beautiful soup, Web Scraping, mongodb"
Full-stack Web Developer-AVP,Credit Suisse,Pune,8-13,"Javascript, PLSQL, react, Python, SQL"
Python / Perl Dev (Application Development),Morgan Stanley,Mumbai,3-7,"Wealth management, Legal compliance, Fixed income, Web development, Agile, Perl, Application development, Investment banking"
Manager - Risk,Bajaj Finserv,Pune,2-5,"Analytical skills, Loans, Data analysis, Data management, MIS, Project planning, Advanced Excel, Testing"
Architect,Delhivery,Gurgaon/Gurugram,4-8,"Data analysis, Supply chain management, Operational excellence, Data management, Data processing, Continuous improvement, Analytics, Monitoring"
Experienced Professional / Pay Grade 50,General Mills,Mumbai,5-10,"Supply chain, Business services, Backend, Data management, Analytical, Market intelligence, FMCG, Analytics"
Legal Lead Associate,DOCSKIFF-JAGGAER,Hyderabad/Secunderabad,5-8,"legal contracts, Legal Advice, Contract Abstraction"
Software Engineer - Microsoft Power BI,Aspire Recruitment Solutions,"Pune, Gurgaon/Gurugram, Bangalore/Bengaluru",2-7,"data analytics, Microsoft Power BI, data engineering, SQL Server Analysis Services, Python, SQL SQL Server, Power BI, DAX"
Lead/Principle Machine Learning Engineer & Researcher,Squareroot Consulting Pvt Ltd.,Bangalore/Bengaluru,5-10,"Tensorflow, Natural Language Processing, Machine Learning, Deep Learning, Data Structure, NLP, Deep Learning models, Koras"
Staff Software Engineer - java/Python,TalentStack,Bangalore/Bengaluru,9-14,"Java, java/Python, Ruby on rails, Golang, System Design, System Architecture, Backend Architecture, Algorithm"
Staff Software Engineer - java/Python,TalentStack,Bangalore/Bengaluru,9-14,"Java, Data Structure, Python, Golang, System Architecture, Backend Architecture, Algorithm"
Python Backend Engineer,Core Edge Solutions,Bangalore/Bengaluru,3-8,"Backend Engineer, Micro services architecture, SaaS platform on AWS, Python based framework, PostgreSQL, ORM, Django, MySQL"
Front-end Engineer,Core Edge Solutions,Bangalore/Bengaluru,3-6,"HTML, XML, Front End Developer, CSS, Auth0, JSON Web Token, BitBucket, Jira"
Front-end Engineer,Core Edge Solutions,Bangalore/Bengaluru,3-6,"Redux, Flux, ReactJS, IT Skills, Software Development, Testing, Selenium, Data Science"
Python Backend Engineer,Core Edge Solutions,Bangalore/Bengaluru,3-6,"PostgreSQL, MySQL, Python, IT Skills, Software Development, Data Science, Machine Learning, Artificial Intelligence"
Dashboard Engineer,Virtuoso Recruitment Solutions,Bangalore/Bengaluru,4-7,"analytics, data engineering, SQL, Kibana, Elasticsearch, Kafka, Tableau, data visualization"
Machine Learning/Operations Engineer - Python/Spark/Scala,Huquo Consulting Pvt. Ltd,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",5-10,"Spark, Machine Learning, Python, Pandas, CICD, Kubernetes, ETL, Oracle"
Front-end Engineers,Core Edge Solutions,Bangalore/Bengaluru,3-6,"Redux, Flux, ReactJS, IT Skills, Software Development, Testing, Selenium, Data Science"
Senior Associate,CHANGE LEADERS CONSULTING,"Hyderabad/Secunderabad, Bangalore/Bengaluru",3-5,"Machine learning, SQL, Regression, Python"
Sr. Associate-Database Developer,CHANGE LEADERS CONSULTING,Bangalore/Bengaluru,3-7,"GitLab, Python, Azure Dev ops, TFS, SQL, IT Skills, Azure, Application Development"
Praxis Global Alliance - Associate - Talent Acquisition,Praxian Global Pvt Ltd,"Mumbai, Gurgaon/Gurugram, Bangalore/Bengaluru",1-5,"Talent Acquisition, Recruitment, Consulting, Consultancy"
Senior Principal Engineer,Billow People Services Private Limited,Remote,7-10,"Data Engineering, stack systems, microservice architecture, Java, Hive, Postgresql, Spark, Microservices"
Hiring For Senior Software Engineer,ManpowerGroup Services India Private Limited,"Mumbai, Delhi / NCR",5-10,"python, flask, sql database, IT Skills, Cloud, AWS"
Associate Product Architect - Bigdata,D Cube Analytics,Bengaluru,8-13,"Unix, Computer science, GIT, Linux, Pharma, Shell scripting, Agile, Open source"
Associate,Phenom Placement Consultancy,Bengaluru,4-6,"Data analysis, Automation, Data modeling, Analytical, Risk assessment, data integrity, QlikView, Financial services"
DevOps Engineer,CELEBAL TECHNOLOGIES PRIVATE LIMITED,"Ahmedabad, Jaipur, Delhi / NCR",2-7,"IT Skills, Java, Python, Cloud, DevOps, Big Data, Jenkins, azure"
Machine Learning Engineer,Reputation,Hyderabad/Secunderabad,2-5,"Performance tuning, Product engineering, Machine learning, Healthcare, microsoft, Automotive, Financial services, SQL"
Software Design Engineer,Einfochips,"Indore, Hyderabad/Secunderabad, Ahmedabad, Chennai",3-8,"JTAG, Auto domain"
Software Engineer Machine Learning,AFFINITY GLOBAL INC,Mumbai,3-6,"Computer science, Logistic regression, Machine learning, Tools, Spark, Business intelligence, Data mining, SQL"
Machine Learning Engineer-AI-programmer-IT-MNC-Bangalore,Vesat Management Consultants Pvt. Ltd,Bangalore/Bengaluru,2-5,"Tensorflow, python, flask, sklearn, Pandas, SQL, Django, Numpy"
Software Engineer ll,Microsoft,Hyderabad/Secunderabad,2-5,"IT Skills, Java, Program Management, Big Data, Computer science, Windows, Cosmos, microsoft"
Software Engineer,Microsoft,Noida,2-5,"object - oriented development, machine learning, ingestion, database, Hive, Cosmos, Hadoop, C#"
Software Engineer ( MEAN Stack ),Solution Analysts Pvt Ltd.,Ahmedabad,2-7,"mean stack, Node JS, javascript, IT Skills, Software Development, Cloud, Angularjs, AWS"
Software Engineer,Microsoft,Noida,2-5,"Azure Data Lake, Python, data modelling, Hadoop, Hive, object - oriented development, Spark, Cosmos"
Coforge hiring For API Engineers @ Gurgaon,Coforge,Gurgaon/Gurugram,6-9,"IT Skills, Java, Data Science, Machine Learning, Project Management, BPO, project management, API"
Production Support Engineer For our S/w Product Dev Company - HYD,Omega WhiteSpace Health,Hyderabad/Secunderabad,2-5,"IT Skills, Cloud, Sql Query Writing, SQL Development, Application Support, JSON, SQL Server, ETL"
Python Engineer,Velotio Technologies Pvt. Ltd.,Pune(Bavdhan),2-7,"algorithms, python, Django, data structures, IT Skills, Testing, Machine Learning, Cloud"
"Architect, ML Ops Engineer",PEPSI FOODS PRIV LIMITED,"Hyderabad, telangana",2-5,"Unix, Solution architecture, Linux, Data modeling, Powershell, Shell scripting, Machine learning, Agile"
Azure DevOps Engineer,Tietoevry India Pvt Ltd,Pune(Kharadi),5-9,"Terraform, Cicd Pipeline, Devops, azure, cloud services, CI / CD, IoT, PySpark"
Structural Engineering II,AECOM,Haryana,5-10,"Structural Engineering, engineering data, engineering, engineering calculations"
Software Engineer,Evolent Health,Pune,3-8,"SQL, IT Skills, Software Development, Testing, MS SQL, T-SQL, User Acceptance Testing, MS SQL Server tools"
Sr Consultant - Python - IIT/ NIT/ BITS,Huquo Consulting Pvt. Ltd,Delhi / NCR,2-5,"Text mining, Natural language processing, Python, PySpark, Hadoop, numpy, scikit, scipy"
Sr. Consultant - Python - IIT/NIT/BITS,Huquo Consulting Pvt. Ltd,Delhi / NCR,2-5,"NLP, Text mining, seaborn, Data Structures, Natural language, scipy, PySpark, Python"
Python | Developer | Django | Web Developer | Software | Engineer,India operations of a US based IT Firm,"Gandhinagar, Ahmedabad, Gujarat",4-8,"Pyramid, Python framework, Flask, Python, Django, big - data Web services, REST API, front - end"
Python Developer,Engineer.ai - Everyones Engineering Team,Gurgaon/Gurugram,2-6,"IT Skills, Testing, DevOps, Performance tuning, Assembly line, Automation, Automation testing, HP data protector"
Integration Engineer | Python Developer,ACI Infotech,Hyderabad/Secunderabad,5-10,"IT Skills, Python, Software Development, Testing, Cloud, AWS, Cloud Applications, data security"
Python Developers / Deep Learning Engineers,Innodeed Systems,Chhattisgarh,2-3,"Computer science, deep learning, Data modeling, Django, Machine learning, SCALA, Agile, Hypothesis Testing"
Manager / Senior Manager - SAS DI,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,6-11,"data management, SAS DI, ETL process, SAS Enterprise Guide, BI, Data Analysis, ETL, SAS DI Studio"
"Quality Analyst - (Audit chats, emails) @ Mumbai",Brainsearch Consulting Pvt Ltd,"Pune, Ahmedabad, Mumbai (All Areas)",2-5,"Green Belt, Quality Analyst, quality monitoring, performance, data management, compile, Competencies, Analysis"
Lead - Bigdata - Spark/Scala Developer,ANBLICKS CLOUD DATA ENGG PRIVATE LIMITED,"Hyderabad/Secunderabad, Ahmedabad",9-14,"SCALA, Big Data, Spark, IT Skills, Testing, Cloud, Azure, Hive"
Lead - Bigdata - Spark/Scala Developer,ANBLICKS CLOUD DATA ENGG PRIVATE LIMITED,"Hyderabad/Secunderabad, Ahmedabad",9-14,"SCALA, Big Data, Spark, Hive, Sqoop, Mapreduce, hadoop, yarn"
Tech Lead/Architect ( Contractual ),Krazy Mantra HR Solutions Pvt. Ltd,"Kolkata, Chennai, Bangalore/Bengaluru",8-13,"Spark, Python, S3, lambda, Athena, AWS, IT Skills, Cloud"
Hadoop Developer,Allegis Services India Pvt. Ltd.,Delhi / NCR,4-7,"metadata, Web analytics, Staffing, Analytical, Schema, Data structures, network services, Adobe"
Product Owner - Analytics Platform (Data42 Platforms),vEnrichU,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",15-20,"Data42 Platforms, DevOps, Big Data Analytics, Product Owner, High Performance Computing, CI/CD, AWS, Data42"
Machine Learning Lead,Evolent Health,Pune,6-11,"Machine learning, IT Skills, Java, Python, Testing, Data Science, Artificial Intelligence, Cloud"
Recruitment Executive,Lead School,Gurgaon/Gurugram,1-5,"Recruitment Executive, Automation, Backend, Engineer Engineering, Consulting, Workflow, Product design, Continuous improvement"
Lead - Software Development,Sutherland Global Services Inc,Hyderabad/Secunderabad,5-10,"Automation, Talent acquisition, Process improvement, Data processing, Application development, Service quality, Information technology, Analytics"
"Java Backend Teach Lead, 7+ years - 32 LPA, Bangalore",Talent Bee Consulting Pvt. Ltd,Bangalore/Bengaluru,7-10,"REST API, Java, Tech Lead, Python Developer, Javascript, Backend development, backend developer, Software"
Power BI,Allegis Services India Pvt. Ltd.,Hyderabad/Secunderabad,3-7,"data cleansing, Performance tuning, power bi, Advanced Excel, Data Analyst, Subject Matter Expert, Individual Contributor, Operations"
Senior Manager Analytics,Mirum India (Formerly Social Wavelength),Mumbai,7-9,"Data analysis, Google Analytics, SAS, Data management, Project management, Market research, Google AdWords, Business intelligence"
Senior Manager Analytics,Mirum,Mumbai,7-9,"Data analysis, Google Analytics, SAS, Data management, Project management, Market research, Google AdWords, Business intelligence"
Senior Program Manager,Microsoft,Hyderabad/Secunderabad,10-13,"IT Skills, Cloud, Program Management, Azure, Performance tuning, Cloud computing, Automation, Linux"
Senior Manager Analytics,Mirum India,Mumbai,7-9,"Tableau, digital media, Data Studio, Google AdWords, data analysis, SAS, communication, Analytical"
Sr. Full Stack Developer,T & A Solutions,Kochi/Cochin,7-10,"Computer science, jQuery, Front end, Coding, XML, MySQL, PHP, HTML"
Senior Angular Developer,AgreeYa,Noida,5-9,"GIT, Coding, Debugging, Workflow, JSON, Unit testing, application architecture, Troubleshooting"
Sr . Java Developer,Fluidscapes Consultants Pvt.Ltd,Mumbai,4-9,"Java, Css, Full Stack Developer, Software Development, Mysql, Javascript, Html, Spring Boot"
Sr . Java Developer,Fluidscapes Consultants Pvt. Ltd.,Mumbai,4-9,"Java, Css, Full Stack Developer, Software Development, Mysql, Javascript, Html, Spring Boot"
Senior Java Developer (Spring Boot),Legalwiz,Chennai,5-10,"Unix, spring boot, Maven, Hibernate, Linux, XML, MySQL, XSLT"
Senior US IT Recruiter,Benchire,Kochi/Cochin,3-8,Us It Recruiter
Senior Manager Analytics,Mirum India,Mumbai,3-5,"Tableau, management, Data Studio, digital media, SAS, data analysis, Powerbi, Google AdWords"
Senior Program Manager,Microsoft,Hyderabad/Secunderabad,5-10,"written, verbal communication, Web technologies, Compliance, Product planning, Research, Subject matter expertise, microsoft"
Senior Cloud Security Researcher,Microsoft,Hyderabad/Secunderabad,8-12,"Computer science, cloud security, cyber security, Powershell, Cloud, Research, microsoft, Information technology"
iOS Sr . Developer,Xemplar Insights,Hyderabad/Secunderabad,14-19,"Computer science, Architecture, SOC, MySQL, Shell scripting, Cloud, DBMS, AWS"
Senior Full Stack Developer - Dot Net,Synerzip Softech India Pvt Ltd,Pune,4-9,"Angular 4+, Typescript, Entity Framework, Scrum, Web API, MSSQL, JavaScript, agile"
Bioinformatic - Variant analyst,Innoplexus,Pune,3-5,"CRO, Computer vision, Pharma, Analytical, Pharmacy, Machine learning, Clinical trials, Life sciences"
Senior Snowflake Developer,ANBLICKS CLOUD DATA ENGG PRIVATE LIMITED,"Hyderabad/Secunderabad, Ahmedabad",5-10,"Tasks, SnowSQL, Snowflake, Snowpipe, Streams, OLTP, ODS, OLAP"
Senior Product Manager,Kyndryl,Chennai,6-10,"Product management, Automation, Sales, Cloud Services, SAAS, Market intelligence, Agile, Customer support"
Senior Snowflake Developer,ANBLICKS CLOUD DATA ENGG PRIVATE LIMITED,"Hyderabad/Secunderabad, Ahmedabad",5-10,"Tasks, SnowSQL, Snowflake, Snowpipe, Streams, IT Skills, Python, AWS"
Sr. PHP Web Developer,mobitino,"Guwahati, Noida",4-5,"jQuery, MySQL, Data structures, HTML, Web designing, SEO, Open source, SDLC"
Founding Leadership Member/Director/Senior Consultant,Benovymed Healthcare,Delhi / NCR,5-10,"BDS, MBBS, Regulatory Affairs, Clinical Management, MS, MD, DNB, BAMS"
Senior UX Designer,Aera Technology,Pune,8-13,"Product Management, Enterprise Software, Use Cases, Usability Testing, Artificial Intelligence, User Experience, User Research, Ux Designer"
Content PMO Analyst | Walmart,TALENT500 TECH (INDIA) PRIVATE LIMITED,Chennai,5-8,"PMO, Content Writing"
Associate Software Engineer,Multi Recruit,Hyderabad/Secunderabad,4-6,"Backend, Version control, GIT, Web technologies, Data modeling, Application programming, Javascript, Data structures"
Senior Product Owner,Tide Software,Hyderabad/Secunderabad,2-8,"Data Science, Product Development, Product Management, Product Manager, Product Owner, Finance, Banking, Data Analysis"
Senior Java Microservices Developer,ANBLICKS CLOUD DATA ENGG PRIVATE LIMITED,"Hyderabad/Secunderabad, Ahmedabad",4-9,"spring boot, java, Microservices, IT Skills, Cloud, DevOps, Javascript, AWS"
Sr. .Net Microservices with Azure Cloud Developer,ANBLICKS CLOUD DATA ENGG PRIVATE LIMITED,"Hyderabad/Secunderabad, Ahmedabad",5-10,".net core, microservices, azure, SQL Server, Rest API, Microsoft Net, NET Core, Kubernetes"
Sr. .Net Microservices with Azure Cloud Developer,ANBLICKS CLOUD DATA ENGG PRIVATE LIMITED,"Hyderabad/Secunderabad, Ahmedabad",5-10,".net core, microservices, azure, Docker, SQL Server, Azure DevOps, Rest API, Micro Services Architecture"
Security Analyst,Microsoft,Hyderabad/Secunderabad,2-7,"Computer science, C++, Automation, Machine learning, Active directory, microsoft, Operations, Analytics"
Kind Attention: Developer/Sr. Developer-Oracle Integration Cloud,ANBLICKS CLOUD DATA ENGG PRIVATE LIMITED,"Hyderabad/Secunderabad, Ahmedabad",5-10,"Oic, IT Skills, Java, Testing, Cloud, Oracle, Javascript, Oracle Service Bus"
Business Analyst - Healthcare,Best InfoSystems Ltd.,Hyderabad/Secunderabad,5-10,"T-SQL, data engineering tools, Microsoft Azure platform, snowflake, ServiceNow, Azure ADLS Gen2, Jira, Blob storage"
MIS Analyst | 4+ years Experience Required | Cognizant,Symbolic Statement,Hyderabad/Secunderabad,4-9,"MIS, BPO, international bpo, MIS Preparation, Macros Execution, Product Awareness, Power Bi, MIS Operations"
Product Analyst - EdTech Company @ Hyderabad,Brainsearch Consulting Pvt Ltd,"Hyderabad/Secunderabad(Vittal Rao Nagar), Chennai, Bangalore/Bengaluru",2-6,"Product Analyst, product usage, product performance, UX, performance, data analytics"
Senior Technical Writer,Infostretch solutions Pvt. Ltd.,Ahmedabad,10-12,"IT Skills, Cloud, DevOps, AWS, RPA, Azure, IT services, Engineering services"
Sr. Technical Project Delivery Manager,Galytix,Gurgaon/Gurugram,5-10,"IT Skills, Data Science, Technology management, Service level, Agile, Manager Technology, Account management, Management"
Sr.Tableau Consultant,Anicalls,Chennai,5-10,"Tableau, digital analytics, data analysis, visualizations, Adobe Analytics, Google Analytics, analytical, IT Skills"
Speciality Development Senior,T & A Solutions,Chennai,2-6,"Safety training, Hadoop, QlikView, Oracle, Licensing, big data, alteryx"
Senior AWS-EMR Consultant,Anicalls,Chennai,5-10,"DynamoDB, Python, Kinesis, Glue, Snowflake, Redshift, Glue Pyspark, Spark"
AWS-EMR Associate Engineer,Anicalls,Mumbai,5-10,"Computer science, spark, SCALA, Programming, big data, Information technology, AWS, Analytics"
QA Analyst,GlowTouch Technologies,Mangalore,3-8,"QA, ISMS, QA Analyst, Web development, Application development, ITES, Technical support, Team building"
Sr. Recruiter - Innominds Software : Leadership Hiring,INNOMINDS SOFTWARE SEZ INDIA PRIVATE LIMITED,Hyderabad/Secunderabad,12-20,"IT Recruitment, recruitment, IT Recruiters, Lateral hiring, IT Skills, Cloud, DevOps, Executive Search"
Senior Program Manager,Microsoft,Hyderabad/Secunderabad,10-13,"IT Skills, Machine Learning, Computer science, Product engineering, Manager Business Analyst, Agile methodology, HR, data visualization"
Sr. AWS Developer,RGF Professional Recruitment,Pune,7-12,"Usage, Data management, dynamo db, SCALA, Saving, big data, AWS, Python"
Sr SDE,"F5 Networks, Inc",Hyderabad/Secunderabad,3-6,"Manager Quality Assurance, Data modeling, XML, Agile, Perl, JSON, Informatica, Oracle"
Sr. Database Administrator (Remote - WFH),Galaxy Web Links Limited,Remote,1-3,"Data Analytics, IT Skills, Testing, Project Management, Tableau, BPO, project management, Logical Approach"
Associate Engineer,Acquia,Pune,2-5,"IT Skills, PHP, Software Development, Cloud, Drupal, Open Source, Docker, Linux"
Senior Consultant,Quadrant Resources Pvt Ltd,Remote,2-7,"Python, PySpark, Azure, GCP, Hadoop, Spark, Docker, ETL development"
Senior Technical Architect,Modak,Hyderabad/Secunderabad,15-20,"IT Skills, Java, Python, Software Development, Cloud, Oracle, Big Data, Hive"
BI - QA Analyst,Diya Systems (Mangalore) Pvt. Ltd.,Mangalore,3-6,"written, SQL, verbal communication, QA, ISMS, QA Analyst, Web development, Application development"
Senior Backend Developer,GHARONDAA ADVISORS PVT LTD,Hyderabad/Secunderabad,3-5,"ELK stack, SQL, NoSQL Databases, RDS, Golang, Google Datastore, DynamoDB, Redis"
IT Product Analyst,LyondellBasell,Mumbai,5-10,"Procurement, Business services, Computer science, SAP, Appliances, Architecture, Agile, Talent management"
System Analyst,DAS WRITING SERVICES PRIVATE LIMITED,Kolkata,1-2,"Zoho, Data Science, Business Intelligence, Business Analytics, System Analysis, Analytics, CRM"
Senior Program Manager,Microsoft,Noida,10-13,"IT Skills, Machine Learning, Computer science, Automation, Product engineering, Analytical, Agile, data visualization"
Business Analyst,Acme Services,Mumbai,3-5,"IT Skills, Big Data, Finance, Business Analysis"
Business System Analyst,Acme Services,Mumbai,3-5,"IT Skills, Testing, Quality Assurance, Oracle, SAP, End User Training, QA, Functional Specifications"
Business Intelligence Analyst,RS Consultants,Pune,3-7,"Power BI, Tableau, Python, PowerBi, analytical, R, Agile, communication"
Business Analyst - RPA,FUTUREHEIGHTS TRAINING & CONSULTANT PRIVATE,"Mohali, Chandigarh",4-9,"Data Analyst, Business Analysis, process mapping, rpa, Business Analytics, cost benefit analysis, traceability matrix, finance"
IT Business Analyst,CIEL HR Services Pvt Ltd,Chennai(Mount Road),2-5,"Business Analyst, functional testing, IT Skills, Testing, Analysing data, IT Business Analyst, Application Support, SME"
Investment finance valuation analyst,Windows Consultants Pvt. Ltd.,Gurgaon/Gurugram,2-6,"Financial Analysis, Excel, Accounting, Valuation, Finance, Data Processing, MS Office, People Management"
Database Analyst,Symphoni HR Private Limited,Hyderabad/Secunderabad,6-10,"oracle19c, data modeling, oracle 12c, PLSQL, oracle sql, 12c/19c/sql, query optimization, oracle 11g"
Database Analyst,Symphoni HR Private Limited,Hyderabad/Secunderabad,6-10,"oracle19c, data modeling, oracle 12c, PLSQL, oracle sql, Oracle Architecture, 12C, communication"
Benovymed Healthcare - Chief Officer/AVP - Marketing & Sales,Benovymed Healthcare Private Limited,"Mumbai, Bangalore/Bengaluru, Delhi / NCR, Overseas, International",10-20,"Marketing Head, Sales Head, B2B Marketing, Sales, New Product Development, B2B Sales, Corporate Sales, Marketing"
Benovymed Healthcare-AVP/Director/Regional Manager-Business Operations,Benovymed Healthcare Private Limited,"Mumbai, Bangalore/Bengaluru, Delhi / NCR, International, Overseas",11-20,"Business Management, Sales, Mental Health, Diabetes, Cancer Diseases, Heart Disease, Marketing, COPD"
Fantastic Opportunity in NetBackup (Contract position),Crown Solutions India (P) Ltd,"Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",2-7,"backup management, SAN, Backup, EMC, Netbackup"
Pyspark Developer,TEKISHUB CONSULTING SERVICES PRIVATE LIMITED,"Noida, Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",4-9,"Pyspark, Data Ingestion Design, AWS Glue, Data Modeling, IT Skills, AWS, Spark, Python"
Hiring Node.Js Developer | Goodwork Labs,GoodWorkLabs Services Pvt Ltd,Remote,3-8,"Nodejs, IT Skills, Software Development, Testing, Artificial Intelligence, Node.js, Javascript, Big Data"
Business Intelligence Developer,C42 Engineering India Pvt. Ltd.,Bangalore/Bengaluru,3-8,"Automation, Multithreading, Linux, HTML, Application development, Business intelligence, Troubleshooting, Open source"
Analytics Consultant,Thoucentric Technology Pvt ltd,Bangalore/Bengaluru(HSR Layout +2),4-9,"power bi, cpg, data analytics, data analysis, data science, gap analysis, techno functional, business analysis"
Python Developer - Solution Design,SuccessR Hrtech Pvt Ltd,Bangalore/Bengaluru,2-7,"Solution Design, Java, REST API, Product Design, PLC, Microservices Architecture, Agile, AWS"
Analytics Program Manager,Jobstop Solutions Private Limited,Bangalore/Bengaluru,10-15,"Excel, Power Bi, Tableau, R Program, sql, Python"
Fullstack Developer - Node.js & React.js | Giant Eagle,TALENT500 TECH (INDIA) PRIVATE LIMITED,Bangalore/Bengaluru,3-5,"Node.Js, React.js"
Fullstack Developer - React.JS & Python | Giant Eagle,TALENT500 TECH (INDIA) PRIVATE LIMITED,Bangalore/Bengaluru,3-5,"React.js, Python"
JAVA Full Stack Developer:::MNC Hiring,7G TECHNOLOGY & IT SOLUTIONS LLP,Bangalore/Bengaluru,5-7,"front end, angular, HTML, javascript frameworks, jquery, IT Skills, Java, Angularjs"
Customer Analytics - L10,Stalwart Management Consulting,Bangalore/Bengaluru,8-12,"Supply chain, customer analytics, C++, Web analytics, Spanish, Data mining, Digital marketing, Financial services"
Python Developer,Lingaro Sp. z o.o.,Remote,3-7,"python, machine learning, artificial intelligence"
BI (Business Intelligence) Developer - PowerBI Dashboard Wizard,TIMS SOLUTIONS PRIVATE LIMITED,Bangalore/Bengaluru,5-10,"Power Bi Dashboards, Power Bi Reports, Business Intelligence, Power Bi, Bi"
